,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,33,11,922805251549,2757606914,1,1,"(0.49841204285621643, 0.19617518782615662)","(0.503021240234375, 0.18911080062389374)",1,1,3.067413330078125,3.13775634765625,"(-51.0087890625, 36.633567810058594, 606.9254760742188)","(7.754400253295898, 37.3187255859375, 609.70263671875)","(-2.1683402061462402, 164.3235321044922, 49.1671028137207)","(-0.5757396817207336, 165.61376953125, 49.636653900146484)",POINT (0.5007166415452957 0.1926429942250252),,,,,,,,,,1,,
0,33,11,922805268216,2757623580,1,1,"(0.5018129944801331, 0.20206308364868164)","(0.5035005807876587, 0.18533402681350708)",1,1,3.0626983642578125,3.1183013916015625,"(-51.18378829956055, 36.60337829589844, 606.7838134765625)","(7.584493637084961, 37.31012725830078, 609.541748046875)","(-0.9932119846343994, 163.24819946289062, 48.775691986083984)","(-0.41011518239974976, 166.3035430908203, 49.88773727416992)",POINT (0.5026567876338959 0.1936985552310944),,,,,,,,,,1,,
0,33,11,922805284883,2757640247,1,1,"(0.5004032254219055, 0.19868937134742737)","(0.49887755513191223, 0.1884869784116745)",1,1,3.0790252685546875,3.128280639648437,"(-51.34718322753906, 36.5673828125, 606.7579956054688)","(7.440329551696777, 37.28607177734375, 609.2876586914062)","(-1.4803210496902466, 163.86436462402344, 48.99995422363281)","(-2.0074965953826904, 165.7277069091797, 49.67815399169922)",POINT (0.4996403902769089 0.1935881748795509),,,,,,,,,,1,,
0,33,11,922805301551,2757656914,1,1,"(0.4978824555873871, 0.1986757069826126)","(0.5010106563568115, 0.18135997653007507)",1,1,3.0825653076171875,3.129364013671875,"(-51.48827362060547, 36.51094055175781, 606.7236938476562)","(7.297321319580078, 37.247535705566406, 609.1260375976562)","(-2.3513200283050537, 163.86685180664062, 49.000885009765625)","(-1.270444631576538, 167.02935791015625, 50.15189743041992)",POINT (0.4994465559720993 0.1900178417563438),,,,,,,,,,1,,
0,33,11,922805318218,2757673581,1,1,"(0.49737536907196045, 0.2010396122932434)","(0.49895337224006653, 0.18101879954338074)",1,1,3.0773468017578125,3.1166229248046875,"(-51.602264404296875, 36.44990539550781, 606.4903564453125)","(7.172051429748535, 37.208404541015625, 609.015625)","(-2.526540994644165, 163.43511962890625, 48.84373474121094)","(-1.9812959432601929, 167.09165954589844, 50.17460250854492)",POINT (0.4981643706560135 0.1910292059183121),,,,,,,,,,1,,
0,33,11,922805334893,2757690255,1,1,"(0.5034552216529846, 0.1967630237340927)","(0.5025113821029663, 0.18477775156497955)",1,1,3.07550048828125,3.0974578857421875,"(-51.71449279785156, 36.39720916748047, 606.4617919921875)","(7.074444770812988, 37.16651916503906, 608.9664306640625)","(-0.4257892668247223, 164.2161865234375, 49.12799072265625)","(-0.7519109845161438, 166.40513610839844, 49.92471694946289)",POINT (0.5029833018779755 0.1907703876495361),,,,,,,,,,1,,
0,33,11,922805351557,2757706919,1,1,"(0.49579429626464844, 0.19995461404323578)","(0.4971376955509186, 0.1881188303232193)",1,1,3.081283569335937,3.1035614013671875,"(-51.799049377441406, 36.33562469482422, 606.447998046875)","(6.991097450256348, 37.119388580322266, 608.7730712890625)","(-3.0728321075439453, 163.63328552246094, 48.915889739990234)","(-2.608651638031006, 165.79493713378906, 49.702632904052734)",POINT (0.4964659959077835 0.1940367221832275),,,,,,,,,,1,,
0,33,11,922805368224,2757723585,1,1,"(0.4973827600479126, 0.20319819450378418)","(0.49867281317710876, 0.1985895335674286)",1,1,3.074325561523437,3.0898590087890625,"(-51.865867614746094, 36.27030563354492, 606.4678344726562)","(6.925162315368652, 37.08280944824219, 608.8154296875)","(-2.5239861011505127, 163.04087829589844, 48.70023727416992)","(-2.0782344341278076, 163.88259887695312, 49.00661087036133)",POINT (0.4980277866125107 0.2008938640356064),,,,,,,,,,1,,
0,33,11,922805384891,2757740252,1,1,"(0.5001702904701233, 0.19602707028388977)","(0.4995366632938385, 0.19029024243354797)",1,1,3.078353881835937,3.100936889648437,"(-51.90837097167969, 36.220916748046875, 606.3999633789062)","(6.879436492919922, 37.04621505737305, 608.7852783203125)","(-1.5608288049697876, 164.35060119628906, 49.17694091796875)","(-1.7797521352767944, 165.39834594726562, 49.558284759521484)",POINT (0.4998534768819809 0.1931586563587189),,,,,,,,,,1,,
0,33,11,922805401558,2757756918,1,1,"(0.4946076571941376, 0.21279670298099518)","(0.49559804797172546, 0.18470309674739838)",1,1,3.074935913085937,3.11309814453125,"(-51.948936462402344, 36.169769287109375, 606.424560546875)","(6.848241806030273, 37.00593185424805, 608.7547607421875)","(-3.482844114303589, 161.287841796875, 48.06221008300781)","(-3.1406450271606445, 166.41879272460938, 49.92966079711914)",POINT (0.4951028525829315 0.1987498998641968),,,,,,,,,,1,,
