,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,  .1,cond.1,-----------.1,    .1,nan.1,input1.2,-----------.2,>.1,car.1,input1.3,car.2,input2.2,-----------.4,-----------.5,<.1,car.3,input1.4,car.4,input2.3,-----------.7,    .2,else.1,afunc.2,cdr.1,input1.5,cdr.2,input2.4,).1,].1,).2,).3,question,code,choices
0,4,25,8817711558,1596806099,1,1,"(0.4623991847038269, 0.3585914373397827)","(0.48180830478668213, 0.3428654372692108)",1,1,2.971664428710937,2.9853515625,"(-22.22091293334961, 10.5433349609375, 583.889404296875)","(43.11690902709961, 12.5745210647583, 583.4351196289062)","(-12.75932788848877, 135.00323486328125, 38.495391845703125)","(-6.033351898193359, 137.88377380371094, 39.54383850097656)",POINT (0.4721037447452545 0.3507284373044968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817728226,1596822766,1,1,"(0.46544089913368225, 0.3568587899208069)","(0.4843953847885132, 0.35194748640060425)",1,1,2.9732666015625,3.0240020751953125,"(-22.203006744384766, 10.48095989227295, 584.3358154296875)","(43.14155960083008, 12.640265464782715, 583.8502197265625)","(-11.705269813537598, 135.3206024169922, 38.61091613769531)","(-5.1368536949157715, 136.22023010253906, 38.93833541870117)",POINT (0.4749181419610977 0.3544031381607056),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817744893,1596839433,1,1,"(0.4639490246772766, 0.36246660351753235)","(0.47838759422302246, 0.34517407417297363)",1,1,2.98480224609375,3.02496337890625,"(-22.217731475830078, 10.403474807739258, 584.62890625)","(43.11247634887695, 12.716419219970703, 584.17822265625)","(-12.222259521484375, 134.2934112548828, 38.237030029296875)","(-7.218752384185791, 137.46090698242188, 39.38991928100586)",POINT (0.4711683094501495 0.353820338845253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817761559,1596856099,1,1,"(0.46473783254623413, 0.3648437559604645)","(0.4787917137145996, 0.34231042861938477)",1,1,2.991668701171875,3.037872314453125,"(-22.281925201416016, 10.294713020324707, 584.9283447265625)","(43.03404998779297, 12.757165908813477, 584.464599609375)","(-11.948895454406738, 133.8579864501953, 38.07855224609375)","(-7.0787224769592285, 137.98545837402344, 39.580814361572266)",POINT (0.4717647731304169 0.3535770922899246),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817778231,1596872770,1,1,"(0.46561354398727417, 0.35975655913352966)","(0.47628939151763916, 0.3466739356517792)",1,1,2.9942626953125,3.053695678710937,"(-22.385425567626953, 10.170034408569336, 585.2250366210938)","(42.94066619873047, 12.772319793701172, 584.8680419921875)","(-11.64543342590332, 134.78982543945312, 38.41770935058594)","(-7.945871829986572, 137.18618774414062, 39.2899055480957)",POINT (0.4709514677524567 0.3532152473926544),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817794898,1596889437,1,1,"(0.4657854735851288, 0.3658275008201599)","(0.47314247488975525, 0.3501458466053009)",1,1,3.0072174072265625,3.043243408203125,"(-22.504297256469727, 10.048357009887695, 585.6358032226562)","(42.81578826904297, 12.766153335571289, 584.9888916015625)","(-11.585855484008789, 133.67779541015625, 38.01293182373047)","(-9.036384582519531, 136.5502166748047, 39.058441162109375)",POINT (0.469463974237442 0.3579866737127304),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817811566,1596906104,1,1,"(0.427528440952301, 0.31705737113952637)","(0.43273022770881653, 0.29033491015434265)",1,1,3.0341796875,3.081527709960937,"(-22.745134353637695, 10.028644561767578, 585.8756713867188)","(42.5504150390625, 12.850330352783203, 585.1087646484375)","(-24.84332847595215, 142.61106872558594, 41.26443099975586)","(-23.040706634521484, 147.50587463378906, 43.04599380493164)",POINT (0.4301293343305588 0.3036961406469345),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817828232,1596922770,1,1,"(0.37788522243499756, 0.22628624737262726)","(0.38226622343063354, 0.2045036256313324)",1,1,3.041107177734375,3.1072235107421875,"(-22.99323272705078, 10.17142105102539, 586.2387084960938)","(42.25022506713867, 13.09329605102539, 585.6343994140625)","(-42.046504974365234, 159.2377471923828, 47.316043853759766)","(-40.52833557128906, 163.2277069091797, 48.76821517944336)",POINT (0.3800757229328156 0.2153949365019798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,4,25,8817844900,1596939437,1,1,"(0.37736865878105164, 0.20287925004959106)","(0.3718593418598175, 0.15894849598407745)",1,1,3.0692901611328125,3.1428985595703125,"(-23.15691375732422, 10.17304801940918, 586.1968994140625)","(42.067935943603516, 13.195733070373535, 585.9833984375)","(-42.22551727294922, 163.5252227783203, 48.87656021118164)","(-44.13469314575195, 171.57208251953125, 51.80537796020508)",POINT (0.3746140003204346 0.1809138730168343),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817861567,1596956104,1,1,"(0.37567833065986633, 0.20843534171581268)","(0.3704124987125397, 0.15263879299163818)",1,1,3.0904083251953125,3.141632080078125,"(-23.325286865234375, 10.162050247192383, 586.0799560546875)","(41.90214157104492, 13.239227294921875, 585.74560546875)","(-42.81127166748047, 162.50750732421875, 48.50615310668945)","(-44.63608932495117, 172.72784423828125, 52.22603988647461)",POINT (0.373045414686203 0.1805370673537254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817878235,1596972771,1,1,"(0.37701329588890076, 0.20112468302249908)","(0.37144312262535095, 0.15240705013275146)",1,1,3.09130859375,3.1597900390625,"(-23.505273818969727, 10.211469650268555, 585.9528198242188)","(41.741973876953125, 13.363330841064453, 585.5933227539062)","(-42.34865951538086, 163.84661865234375, 48.9935302734375)","(-44.27893829345703, 172.77029418945312, 52.241458892822266)",POINT (0.3742282092571258 0.1767658665776253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817894901,1596989437,1,1,"(0.3764053285121918, 0.20766833424568176)","(0.36925220489501953, 0.15234751999378204)",1,1,3.0814666748046875,3.1657867431640625,"(-23.69576072692871, 10.326285362243652, 585.7379150390625)","(41.56938171386719, 13.49885368347168, 585.2800903320312)","(-42.559349060058594, 162.64801025390625, 48.55723190307617)","(-45.03816223144531, 172.7812042236328, 52.24542236328125)",POINT (0.3728287667036056 0.1800079271197319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817911575,1597006110,1,1,"(0.38390567898750305, 0.21459241211414337)","(0.36675530672073364, 0.15533101558685303)",1,1,3.1172637939453125,3.17669677734375,"(-23.872180938720703, 10.500608444213867, 585.438720703125)","(41.421451568603516, 13.709867477416992, 585.116943359375)","(-39.960205078125, 161.37974548339844, 48.09559631347656)","(-45.90342712402344, 172.2346954345703, 52.04654312133789)",POINT (0.3753304928541184 0.1849617138504982),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
