,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,14,30,237791740818,4424470286,1,1,"(0.4037126898765564, 0.29765039682388306)","(0.40493956208229065, 0.1989073008298874)",1,1,3.3672332763671875,3.72125244140625,"(29.538711547851562, 99.89431762695312, 539.9295043945312)","(94.18997192382812, 101.60594940185547, 531.8238525390625)","(-32.62377166748047, 151.49497985839844, 44.49787521362305)","(-32.1965217590332, 169.67054748535156, 51.11323928833008)",POINT (0.4043261259794235 0.2482788488268852),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791757485,4424486953,1,1,"(0.38968321681022644, 0.2730826735496521)","(0.40774044394493103, 0.20268897712230682)",1,1,3.331039428710937,3.727020263671875,"(31.54198455810547, 99.9861068725586, 547.153564453125)","(96.1692123413086, 101.89739990234375, 538.927001953125)","(-37.50931930541992, 156.01715087890625, 46.143798828125)","(-31.221166610717773, 168.97445678710938, 50.859886169433594)",POINT (0.3987118303775787 0.2378858253359795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791774152,4424503619,1,1,"(0.4093543589115143, 0.2959369719028473)","(0.41357773542404175, 0.24846722185611725)",1,1,3.3425750732421875,3.799468994140625,"(33.783226013183594, 100.23371124267578, 554.2354125976562)","(98.4358901977539, 102.3277816772461, 545.9974365234375)","(-30.659147262573242, 151.8103790283203, 44.612667083740234)","(-29.188419342041016, 160.54808044433594, 47.792964935302734)",POINT (0.411466047167778 0.2722020968794823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791790819,4424520286,1,1,"(0.406114399433136, 0.2979028522968292)","(0.40176600217819214, 0.19859464466571808)",1,1,3.334335327148437,3.72979736328125,"(36.168373107910156, 100.43411254882812, 561.0684204101562)","(100.7970962524414, 102.6251449584961, 552.656005859375)","(-31.787416458129883, 151.44851684570312, 44.48094940185547)","(-33.301673889160156, 169.72808837890625, 51.134193420410156)",POINT (0.4039402008056641 0.2482487484812736),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791807487,4424536953,1,1,"(0.3999253809452057, 0.2649519741535187)","(0.40503495931625366, 0.20020164549350739)",1,1,3.2831268310546875,3.7169189453125,"(38.63605880737305, 100.54225158691406, 567.6716918945312)","(103.2740478515625, 102.81097412109375, 559.220703125)","(-33.94264221191406, 157.5137481689453, 46.68851852416992)","(-32.163307189941406, 169.4322967529297, 51.02651596069336)",POINT (0.4024801701307297 0.232576809823513),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
0,14,30,237791824153,4424553619,1,1,"(0.4087458848953247, 0.2636745870113373)","(0.40722131729125977, 0.1952599287033081)",1,1,3.3208160400390625,3.692596435546875,"(41.10845947265625, 100.4187240600586, 574.1357421875)","(105.74317932128906, 102.70004272460938, 565.5345458984375)","(-30.87104606628418, 157.7489013671875, 46.77409362792969)","(-31.40192985534668, 170.34190368652344, 51.35759735107422)",POINT (0.4079836010932922 0.2294672578573227),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791840821,4424570286,1,1,"(0.2763693034648895, 0.25829440355300903)","(0.31085798144340515, 0.1715901494026184)",1,1,3.320281982421875,3.695953369140625,"(43.17884063720703, 100.28965759277344, 580.8192138671875)","(107.80640411376953, 102.4849853515625, 571.6807861328125)","(-76.96923828125, 158.7392120361328, 47.134578704833984)","(-64.95906066894531, 174.6988067626953, 52.94336700439453)",POINT (0.2936136424541473 0.2149422764778137),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791857493,4424586958,1,1,"(0.31788766384124756, 0.2703850567340851)","(0.31863516569137573, 0.10770890861749649)",1,1,3.3516387939453125,3.695480346679688,"(45.43640899658203, 100.08694458007812, 587.1798706054688)","(109.99678802490234, 102.23202514648438, 577.7725219726562)","(-62.511070251464844, 156.513671875, 46.32460021972656)","(-62.25076675415039, 186.4573516845703, 57.22315979003906)",POINT (0.3182614147663116 0.1890469826757908),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237791874160,4424603624,1,1,"(0.2889631986618042, 0.25480449199676514)","(0.30112773180007935, 0.15948249399662018)",1,1,3.2978515625,3.694015502929688,"(47.630619049072266, 99.69599914550781, 593.2901611328125)","(112.16664123535156, 101.85273742675781, 583.6102905273438)","(-72.58360290527344, 159.381591796875, 47.368370056152344)","(-68.34747314453125, 176.9274139404297, 53.75457000732422)",POINT (0.2950454652309418 0.2071434929966927),,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237791890827,4424620291,1,1,"(0.28588443994522095, 0.20579467713832855)","(0.2988669276237488, 0.12773877382278442)",1,1,3.2802276611328125,3.673355102539064,"(49.62774658203125, 99.0756607055664, 599.5042114257812)","(114.14668273925781, 101.26441955566406, 589.520263671875)","(-73.65571594238281, 168.4027862548828, 50.65187072753906)","(-69.13475799560547, 182.7704620361328, 55.88126754760742)",POINT (0.2923756837844849 0.1667667254805565),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,30,237791907494,4424636958,1,1,"(0.29818177223205566, 0.2435016930103302)","(0.3043421506881714, 0.15084631741046906)",1,1,3.310150146484375,3.67877197265625,"(51.51953125, 98.35385131835938, 605.772705078125)","(115.98646545410156, 100.59851837158203, 595.3386840820312)","(-69.37334442138672, 161.46206665039062, 48.125640869140625)","(-67.22810363769531, 178.51708984375, 54.333126068115234)",POINT (0.3012619614601135 0.1971740052103996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237791924161,4424653624,1,1,"(0.29496654868125916, 0.24244791269302368)","(0.30801162123680115, 0.12827712297439575)",1,1,3.285858154296875,3.6683349609375,"(53.16812515258789, 97.31057739257812, 612.019287109375)","(117.59251403808594, 99.66806030273438, 601.2579345703125)","(-70.49301147460938, 161.65602111816406, 48.19626235961914)","(-65.95025634765625, 182.67137145996094, 55.84517288208008)",POINT (0.3014890849590302 0.1853625178337097),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237792090835,4424820293,1,1,"(0.3063313961029053, 0.2631222903728485)","(0.29254797101020813, 0.12202731519937515)",1,1,3.3458709716796875,3.651046752929688,"(63.54978561401367, 78.19596862792969, 675.4279174804688)","(127.36631774902344, 82.8597183227539, 661.4874267578125)","(-66.53536987304688, 157.8505401611328, 46.81111526489258)","(-71.33524322509766, 183.82176208496094, 56.26390838623047)",POINT (0.2994396835565567 0.1925748027861118),,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237792107502,4424836960,1,1,"(0.30441442131996155, 0.1789124757051468)","(0.2831641733646393, 0.1089862585067749)",1,1,3.268951416015625,3.631011962890625,"(63.83446502685547, 75.38150024414062, 681.78564453125)","(127.55891418457031, 80.48616790771484, 667.6185913085938)","(-67.20292663574219, 173.3509521484375, 52.452842712402344)","(-74.60301208496094, 186.2222442626953, 57.137569427490234)",POINT (0.2937892973423004 0.1439493671059608),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,30,237792124175,4424853632,1,1,"(0.3162464201450348, 0.18834051489830017)","(0.29693716764450073, 0.08010318130254745)",1,1,3.2520751953125,3.614227294921875,"(64.16177368164062, 72.40919494628906, 688.2036743164062)","(127.74956512451172, 77.93082427978516, 673.54443359375)","(-63.08262252807617, 171.6155548095703, 51.821197509765625)","(-69.80677795410156, 191.53871154785156, 59.0726318359375)",POINT (0.3065917938947678 0.1342218481004238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,30,237792140841,4424870298,1,1,"(0.3092021644115448, 0.20627938210964203)","(0.2922424077987671, 0.10241689532995224)",1,1,3.272918701171875,3.6260986328125,"(64.46250915527344, 69.29026794433594, 694.4368896484375)","(127.95680236816406, 75.23983764648438, 679.5303344726562)","(-65.5356674194336, 168.3135528564453, 50.61936569213867)","(-71.44165802001953, 187.4314422607422, 57.577728271484375)",POINT (0.3007222861051559 0.1543481387197971),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,30,237792157508,4424886964,1,1,"(0.3003804385662079, 0.20389197766780853)","(0.2979215085506439, 0.09979385137557983)",1,1,3.27032470703125,3.6327056884765625,"(64.73773193359375, 66.07027435302734, 700.555419921875)","(128.14480590820312, 72.44145965576172, 685.5402221679688)","(-68.60769653320312, 168.75303649902344, 50.77926254272461)","(-69.46399688720703, 187.9142608642578, 57.75345230102539)",POINT (0.2991509735584259 0.1518429145216942),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,30,237792174175,4424903631,1,1,"(0.4367470145225525, 0.677933931350708)","(0.2982126772403717, 0.0988522469997406)",1,1,2.510223388671875,3.624908447265625,"(64.98851013183594, 62.740108489990234, 706.63134765625)","(128.24729919433594, 69.49556732177734, 691.219482421875)","(-21.12005043029785, 81.49647521972656, 19.020572662353516)","(-69.36260223388672, 188.0876007080078, 57.81650161743164)",POINT (0.3674798458814621 0.3883930891752243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
