,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,number.1,n.1,if.1,<=.1,n.2,0.1,0.2,      .1,letrec.1,-----------.1,helper.1,lambda.1,i.1,acc.1,if.2,>.1,i.2,n.3,acc.2,helper.2,+.1,i.3,1.1,+.2,acc.3,i.4,).1,).2,).3,).4,(.1,helper.3,1.2,0.3,).5,).6,).7,question,code,choices
0,27,32,242718919971,9351509073,1,1,"(0.4096544682979584, 0.23372653126716614)","(0.4286484718322754, 0.31741636991500854)",1,1,3.0729217529296875,3.0297088623046875,"(-40.215972900390625, 46.97150802612305, 478.6063232421875)","(22.67034339904785, 52.96250915527344, 480.0091552734375)","(-31.037311553955078, 157.87490844726562, 46.81997299194336)","(-24.455184936523438, 142.54531860351562, 41.24049377441406)",POINT (0.4191514700651169 0.2755714505910873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242718936638,9351525740,1,1,"(0.4063231647014618, 0.23339299857616425)","(0.42781513929367065, 0.3189041018486023)",1,1,3.058135986328125,3.0234527587890625,"(-40.10277557373047, 46.998321533203125, 478.54425048828125)","(22.774288177490234, 52.989410400390625, 480.0927734375)","(-32.19172668457031, 157.9359893798828, 46.84223556518555)","(-24.743976593017578, 142.2728271484375, 41.14126205444336)",POINT (0.4170691519975662 0.2761485502123833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242718953305,9351542406,1,1,"(0.4116153120994568, 0.24901185929775238)","(0.42646849155426025, 0.3106773793697357)",1,1,3.0841217041015625,3.0108184814453125,"(-40.014102935791016, 47.03279113769531, 478.5430908203125)","(22.8575439453125, 53.01171112060547, 480.2665100097656)","(-30.357805252075195, 155.07505798339844, 45.80096435546875)","(-25.210628509521484, 143.7797088623047, 41.68977737426758)",POINT (0.4190419018268585 0.279844619333744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242718969972,9351559073,1,1,"(0.41217225790023804, 0.2476760745048523)","(0.425743967294693, 0.31039807200431824)",1,1,3.067169189453125,3.009262084960937,"(-39.91034698486328, 47.02867889404297, 478.50457763671875)","(22.985445022583008, 53.03477478027344, 480.28436279296875)","(-30.16478729248047, 155.3197479248047, 45.889984130859375)","(-25.461694717407227, 143.83087158203125, 41.70839309692383)",POINT (0.4189581125974655 0.2790370732545853),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242718986640,9351575740,1,1,"(0.4113403260707855, 0.2499905526638031)","(0.42505863308906555, 0.3158130943775177)",1,1,3.065780639648437,3.0065155029296875,"(-39.805755615234375, 47.028533935546875, 478.59552001953125)","(23.084877014160156, 53.073177337646484, 480.3291015625)","(-30.453094482421875, 154.8957977294922, 45.73569107055664)","(-25.69919776916504, 142.83900451660156, 41.347347259521484)",POINT (0.4181994795799255 0.2829018235206604),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242719003306,9351592406,1,1,"(0.41466084122657776, 0.2579248547554016)","(0.42355865240097046, 0.31916674971580505)",1,1,3.092269897460937,3.0301971435546875,"(-39.724876403808594, 47.01788330078125, 478.6552429199219)","(23.146358489990234, 53.15863037109375, 480.4022521972656)","(-29.302413940429688, 153.44247436523438, 45.206687927246094)","(-26.218990325927734, 142.22470092773438, 41.123802185058594)",POINT (0.4191097468137741 0.2885458022356033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242719019974,9351609073,1,1,"(0.41337108612060547, 0.24914103746414185)","(0.4299210011959076, 0.31670692563056946)",1,1,3.0763092041015625,3.0449371337890625,"(-39.66962432861328, 46.944419860839844, 478.6761779785156)","(23.166683197021484, 53.19546890258789, 480.57708740234375)","(-29.749357223510742, 155.05140686035156, 45.79231262207031)","(-24.014211654663086, 142.67527770996094, 41.28776550292969)",POINT (0.4216460436582565 0.2829239815473556),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242719036641,9351625740,1,1,"(0.42305806279182434, 0.24662736058235168)","(0.43209657073020935, 0.3105432093143463)",1,1,3.09222412109375,3.063262939453125,"(-39.53258514404297, 46.853450775146484, 478.6309509277344)","(23.286285400390625, 53.352272033691406, 480.6240234375)","(-26.392467498779297, 155.51182556152344, 45.95994186401367)","(-23.260303497314453, 143.80429077148438, 41.69871139526367)",POINT (0.4275773167610168 0.278585284948349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,27,32,242719053313,9351642411,1,1,"(0.47873178124427795, 0.19110728800296783)","(0.4832831025123596, 0.2597927749156952)",1,1,3.092681884765625,3.0978240966796875,"(-39.22068786621094, 46.758392333984375, 478.69415283203125)","(23.54754638671875, 53.53302001953125, 480.9153137207031)","(-7.099489688873291, 165.68153381347656, 49.661338806152344)","(-5.522294521331787, 153.10031127929688, 45.08218765258789)",POINT (0.4810074418783188 0.2254500314593315),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719069978,9351659076,1,1,"(0.47537651658058167, 0.172422856092453)","(0.48417162895202637, 0.2608773708343506)",1,1,3.09100341796875,3.081939697265625,"(-39.12248992919922, 46.6104736328125, 478.65484619140625)","(23.581336975097656, 53.583457946777344, 481.06732177734375)","(-8.262208938598633, 169.10397338867188, 50.907039642333984)","(-5.214379787445068, 152.9016571044922, 45.00984191894531)",POINT (0.479774072766304 0.2166501134634018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719086646,9351675743,1,1,"(0.4842751920223236, 0.18326681852340698)","(0.48807939887046814, 0.258208304643631)",1,1,3.114730834960937,3.08111572265625,"(-39.108455657958984, 46.3929443359375, 478.46612548828125)","(23.56961441040039, 53.542945861816406, 480.9268798828125)","(-5.178498268127441, 167.11767578125, 50.1840705871582)","(-3.860198974609375, 153.3905487060547, 45.18778991699219)",POINT (0.4861772954463959 0.220737561583519),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719103312,9351692409,1,1,"(0.4728371798992157, 0.17387895286083221)","(0.4891307055950165, 0.26607340574264526)",1,1,3.095428466796875,3.0854644775390625,"(-39.12571334838867, 46.26077651977539, 478.5774841308594)","(23.538806915283203, 53.55503845214844, 480.96746826171875)","(-9.142179489135742, 168.83726501464844, 50.809940338134766)","(-3.4958832263946533, 151.94989013671875, 44.6634407043457)",POINT (0.4809839427471161 0.2199761793017387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719119988,9351709084,1,1,"(0.48131340742111206, 0.1806923896074295)","(0.4868716299533844, 0.2585190236568451)",1,1,3.118438720703125,3.082427978515625,"(-39.240692138671875, 46.147857666015625, 478.6390380859375)","(23.45395278930664, 53.536720275878906, 481.0894775390625)","(-6.204867362976074, 167.5892333984375, 50.355712890625)","(-4.278733253479004, 153.3336181640625, 45.16712188720703)",POINT (0.4840925186872482 0.2196057066321373),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719136655,9351725751,1,1,"(0.484017938375473, 0.1961003541946411)","(0.4892544448375702, 0.25825411081314087)",1,1,3.091949462890625,3.0679473876953125,"(-39.30327606201172, 46.01274108886719, 478.30364990234375)","(23.34239387512207, 53.50102996826172, 480.91619873046875)","(-5.267639636993408, 164.7669219970703, 49.32851791381836)","(-3.4529991149902344, 153.3821563720703, 45.18475341796875)",POINT (0.4866361916065216 0.227177232503891),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719153322,9351742418,1,1,"(0.47661349177360535, 0.17582303285598755)","(0.4907935857772827, 0.26265183091163635)",1,1,3.0945587158203125,3.060546875,"(-39.442665100097656, 45.91959762573242, 478.4376525878906)","(23.196151733398438, 53.481658935546875, 480.87469482421875)","(-7.833563327789307, 168.4811553955078, 50.680362701416016)","(-2.919628620147705, 152.5766143798828, 44.891571044921875)",POINT (0.483703538775444 0.219237431883812),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719169995,9351759090,1,1,"(0.47726601362228394, 0.19085828959941864)","(0.4838903546333313, 0.26010555028915405)",1,1,3.0609283447265625,3.029327392578125,"(-39.638519287109375, 45.896484375, 478.4415588378906)","(23.00419044494629, 53.5279655456543, 481.02880859375)","(-7.607430458068848, 165.7271270751953, 49.677982330322266)","(-5.311862945556641, 153.0430145263672, 45.06135177612305)",POINT (0.4805781841278076 0.2254819199442864),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719186662,9351775757,1,1,"(0.4757596552371979, 0.1803211122751236)","(0.48743221163749695, 0.26023468375205994)",1,1,3.0568389892578125,3.009429931640625,"(-39.80352020263672, 45.77695083618164, 478.52239990234375)","(22.83037567138672, 53.457557678222656, 480.7450256347656)","(-8.129435539245605, 167.6572265625, 50.38050079345703)","(-4.08446741104126, 153.0193634033203, 45.052730560302734)",POINT (0.4815959334373474 0.2202778980135918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242719203330,9351792424,1,1,"(0.48382386565208435, 0.1929161101579666)","(0.4893247187137604, 0.2641066908836365)",1,1,3.0381622314453125,2.989837646484375,"(-39.958168029785156, 45.672462463378906, 478.45318603515625)","(22.670726776123047, 53.408931732177734, 480.72821044921875)","(-5.33489465713501, 165.35018920898438, 49.54079818725586)","(-3.4286422729492188, 152.3101348876953, 44.794559478759766)",POINT (0.4865742921829224 0.2285114005208015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
