,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,14,13,235743653061,2376440623,1,1,"(0.44091030955314636, 0.418918251991272)","(0.4204847514629364, 0.38662490248680115)",1,1,3.287506103515625,3.749969482421875,"(-25.281253814697266, -12.610601425170898, 656.9879150390625)","(39.69548416137695, -14.998566627502441, 655.364013671875)","(-19.67024803161621, 129.17330932617188, 36.37347412109375)","(-26.783130645751953, 135.11749267578125, 38.53700637817383)",POINT (0.4306975305080414 0.4027715772390366),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743669729,2376457290,1,1,"(0.44155147671699524, 0.41172662377357483)","(0.42565038800239563, 0.3804389238357544)",1,1,3.268096923828125,3.7091064453125,"(-25.380584716796875, -12.626567840576172, 657.07568359375)","(39.580631256103516, -14.984590530395508, 655.3302612304688)","(-19.44696044921875, 130.49703979492188, 36.85530090332031)","(-24.984275817871094, 136.2561492919922, 38.9514274597168)",POINT (0.4336009323596954 0.3960827738046646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743686395,2376473956,1,1,"(0.4362320601940155, 0.41525331139564514)","(0.41627877950668335, 0.3870057761669159)",1,1,3.268707275390625,3.69305419921875,"(-25.46310043334961, -12.637298583984375, 657.0093383789062)","(39.51386260986328, -14.975318908691406, 655.3621215820312)","(-21.29937744140625, 129.847900390625, 36.618988037109375)","(-28.247812271118164, 135.04739379882812, 38.511478424072266)",POINT (0.4262554198503494 0.4011295437812805),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743703065,2376490625,1,1,"(0.4458094537258148, 0.4127359986305237)","(0.42226529121398926, 0.383173406124115)",1,1,3.251083374023437,3.667510986328125,"(-25.540307998657227, -12.650284767150879, 656.9554443359375)","(39.423248291015625, -14.961321830749512, 655.3252563476562)","(-17.964187622070312, 130.31126403808594, 36.78765106201172)","(-26.163097381591797, 135.7528076171875, 38.76827621459961)",POINT (0.434037372469902 0.3979547023773193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743719731,2376507291,1,1,"(0.4657432436943054, 0.469287633895874)","(0.45927193760871887, 0.44448837637901306)",1,1,3.234603881835937,3.6688079833984375,"(-25.48607635498047, -12.801675796508789, 656.912353515625)","(39.41581344604492, -15.10226058959961, 655.3507080078125)","(-11.022534370422363, 119.90184783935547, 32.998939514160156)","(-13.276077270507812, 124.46662902832031, 34.66036605834961)",POINT (0.4625075906515122 0.4568880051374435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,13,235743736405,2376523964,1,1,"(0.5212756395339966, 0.7530239820480347)","(0.49962854385375977, 0.6733713150024414)",1,1,3.2043609619140625,3.62652587890625,"(-25.34860610961914, -13.125892639160156, 656.852294921875)","(39.374969482421875, -15.362751960754395, 655.4747314453125)","(8.315811157226562, 67.67471313476562, 13.989819526672363)","(0.7775202989578247, 82.33631896972656, 19.326229095458984)",POINT (0.5104520916938782 0.713197648525238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,14,13,235743753072,2376540631,1,1,"(0.49436628818511963, 0.691543698310852)","(0.4932461977005005, 0.6275470852851868)",1,1,3.1915740966796875,3.6275787353515625,"(-25.461027145385742, -13.171472549438477, 656.9152221679688)","(39.329071044921875, -15.400420188903809, 655.3958740234375)","(-1.0549631118774414, 78.9913330078125, 18.108776092529297)","(-1.445041298866272, 90.77115631103516, 22.39623260498047)",POINT (0.4938062429428101 0.6595453917980194),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,14,13,235743769738,2376557297,1,1,"(0.504666268825531, 0.7264086008071899)","(0.49419891834259033, 0.6845605373382568)",1,1,3.174407958984375,3.598876953125,"(-25.556396484375, -13.19332218170166, 656.9077758789062)","(39.27939224243164, -15.400259017944336, 655.353515625)","(2.531830072402954, 72.57379150390625, 15.772961616516113)","(-1.1132590770721436, 80.27672576904297, 18.57657241821289)",POINT (0.4994325935840607 0.7054845690727234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,14,13,235743786406,2376573964,1,1,"(0.49839210510253906, 0.7196056246757507)","(0.4996486306190491, 0.6641663908958435)",1,1,3.154266357421875,3.57647705078125,"(-25.634796142578125, -13.212967872619629, 656.9852905273438)","(39.19882583618164, -15.404267311096191, 655.3395385742188)","(0.3469501733779907, 73.82601165771484, 16.228694915771484)","(0.784513533115387, 84.03067779541016, 19.942899703979492)",POINT (0.4990203678607941 0.6918860077857971),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,14,13,235743803073,2376590631,1,1,"(0.5008344650268555, 0.7029062509536743)","(0.5063974261283875, 0.6621631383895874)",1,1,3.14111328125,3.5701904296875,"(-25.704151153564453, -13.234199523925781, 656.8244018554688)","(39.133262634277344, -15.406932830810547, 655.335693359375)","(1.1974743604660034, 76.89984893798828, 17.347515106201172)","(3.1346969604492188, 84.39940643310547, 20.077112197875977)",POINT (0.5036159455776215 0.6825346946716309),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
