,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,recursiveFun.1,int.2,n.1,recursiveFun.2,10.1,-----------.1,if.1,n.2,==.1,0.1,return.1,0.2,return.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""".1",-----------.10,recursiveFun.3,n.4,-.1,1.1,-----------.12,-----------.13,question,code,choices
0,59,12,335890245118,5551939835,1,1,"(0.1959695965051651, 0.2216154932975769)","(0.14411984384059906, 0.19442258775234222)",1,1,2.597930908203125,2.43634033203125,"(-53.87885665893555, -25.403173446655273, 650.3450927734375)","(14.29089641571045, -24.644447326660156, 651.9249267578125)","(-106.66984558105469, 159.6772003173828, 47.475990295410156)","(-124.58524322509766, 164.6436309814453, 49.283599853515625)",POINT (0.1700447201728821 0.2080190405249596),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,12,335890261785,5551956501,1,1,"(0.18719078600406647, 0.23428820073604584)","(0.1477128267288208, 0.21760624647140503)",1,1,2.6204071044921875,2.414657592773437,"(-53.96893310546875, -25.394336700439453, 650.0928955078125)","(14.180534362792969, -24.61758804321289, 652.1409912109375)","(-109.7031478881836, 157.36268615722656, 46.633602142333984)","(-123.34378051757812, 160.40945434570312, 47.74244689941406)",POINT (0.1674518063664436 0.2259472236037254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890278452,5551973168,1,1,"(0.19731852412223816, 0.20855897665023804)","(0.14131416380405426, 0.22215959429740906)",1,1,2.5778350830078125,2.4403533935546875,"(-54.114009857177734, -25.41456413269043, 650.4478759765625)","(14.045316696166992, -24.585161209106445, 651.88818359375)","(-106.2037582397461, 162.0618133544922, 48.343875885009766)","(-125.55467987060547, 159.57785034179688, 47.439754486083984)",POINT (0.1693163439631462 0.2153592854738236),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890295133,5551989848,1,1,"(0.19582533836364746, 0.21597303450107574)","(0.1410956084728241, 0.2047380656003952)",1,1,2.605621337890625,2.412322998046875,"(-54.29206848144531, -25.425554275512695, 650.5601806640625)","(13.88365650177002, -24.562599182128906, 652.1295776367188)","(-106.71968841552734, 160.70773315429688, 47.85102462768555)","(-125.63019561767578, 162.75965881347656, 48.597843170166016)",POINT (0.1684604734182358 0.2103555500507355),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,12,335890311791,5552006506,1,1,"(0.21258655190467834, 0.21856285631656647)","(0.1441853791475296, 0.20656365156173706)",1,1,2.5863800048828125,2.421112060546875,"(-54.49143981933594, -25.432518005371094, 650.7156372070312)","(13.694744110107422, -24.530811309814453, 652.2776489257812)","(-100.92826843261719, 160.23472595214844, 47.67890548706055)","(-124.5625991821289, 162.42623901367188, 48.476497650146484)",POINT (0.178385965526104 0.2125632539391518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,12,335890328459,5552023173,1,1,"(0.1994757056236267, 0.21645334362983704)","(0.14123301208019257, 0.19599704444408417)",1,1,2.587127685546875,2.4152984619140625,"(-54.68170166015625, -25.463964462280273, 650.8974609375)","(13.495296478271484, -24.503698348999023, 652.2158203125)","(-105.4583969116211, 160.61997985839844, 47.819190979003906)","(-125.58271789550781, 164.3560791015625, 49.178932189941406)",POINT (0.1703543588519096 0.2062251940369606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,12,335890345125,5552039839,1,1,"(0.18584540486335754, 0.21823562681674957)","(0.14194436371326447, 0.21085187792778015)",1,1,2.6018218994140625,2.4335479736328125,"(-54.84185028076172, -25.48054313659668, 650.8233032226562)","(13.312244415283203, -24.472883224487305, 652.410888671875)","(-110.16800689697266, 160.29449462890625, 47.70063781738281)","(-125.33692932128906, 161.6430206298828, 48.19152069091797)",POINT (0.163894884288311 0.2145437523722649),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890361801,5552056515,1,1,"(0.188385471701622, 0.21789097785949707)","(0.1307912915945053, 0.21531106531620026)",1,1,2.6094207763671875,2.4173583984375,"(-55.03112030029297, -25.501489639282227, 650.8865356445312)","(13.109174728393555, -24.423534393310547, 652.159912109375)","(-109.29035186767578, 160.35743713378906, 47.72356033325195)","(-129.1905975341797, 160.82864379882812, 47.89500427246094)",POINT (0.1595883816480637 0.2166010215878487),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335890378468,5552073181,1,1,"(0.18547803163528442, 0.21213345229625702)","(0.13967330753803253, 0.2035703957080841)",1,1,2.589080810546875,2.4482574462890625,"(-55.21843719482422, -25.527080535888672, 651.210693359375)","(12.961431503295898, -24.396652221679688, 652.4238891601562)","(-110.2949447631836, 161.4089813232422, 48.10626220703125)","(-126.12163543701172, 162.97291564941406, 48.675472259521484)",POINT (0.1625756695866585 0.2078519240021706),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,12,335890395135,5552089848,1,1,"(0.2033170610666275, 0.23215252161026)","(0.1427117884159088, 0.21159493923187256)",1,1,2.581787109375,2.4276275634765625,"(-55.38722610473633, -25.548580169677734, 651.6578369140625)","(12.821073532104492, -24.36258316040039, 652.6165771484375)","(-104.13111114501953, 157.75277709960938, 46.77547073364258)","(-125.07176208496094, 161.50732421875, 48.142093658447266)",POINT (0.1730144247412682 0.2218737304210663),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
