,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,num1.1,int.3,num2.1,if.1,num1.2,==.1,0.1,return.1,num2.2,+.1,num1.3,-----------.4,else.1,if.2,num2.3,==.2,0.2,return.2,num1.4,*.1,2.1,-----------.5,else.2,return.3,afunc.2,num1.5,-.1,1.1,num2.4,-.2,1.2,-----------.8,-----------.9,-----------.10,question,code,choices
0,13,21,407283498897,1440363310,1,1,"(0.3623865246772766, 0.15782883763313293)","(0.3707619905471802, 0.14020222425460815)",1,1,2.4530029296875,2.4871063232421875,"(-58.019126892089844, 0.15834909677505493, 577.7969970703125)","(3.419288158416748, -5.653335094451904, 577.4082641601562)","(-49.16858673095703, 171.32699584960938, 51.71613311767578)","(-46.274654388427734, 174.54624938964844, 52.88786315917969)",POINT (0.3665742576122284 0.1490155309438705),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283515569,1440379981,1,1,"(0.3661006689071655, 0.15917029976844788)","(0.3728986978530884, 0.14065635204315186)",1,1,2.46759033203125,2.497467041015625,"(-58.09696960449219, 0.13208642601966858, 577.6889038085938)","(3.351059913635254, -5.643820762634277, 577.2609252929688)","(-47.885257720947266, 171.08200073242188, 51.6269645690918)","(-45.53636932373047, 174.46331787109375, 52.85769271850586)",POINT (0.369499683380127 0.1499133259057999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283532235,1440396647,1,1,"(0.3581186532974243, 0.16222085058689117)","(0.3702083230018616, 0.1434049904346466)",1,1,2.46807861328125,2.4840240478515625,"(-58.16471481323242, 0.11328732222318649, 577.6387939453125)","(3.299342393875122, -5.634690284729004, 577.0675048828125)","(-50.643253326416016, 170.5248565673828, 51.4241943359375)","(-46.46595764160156, 173.9613037109375, 52.67497253417969)",POINT (0.3641634881496429 0.1528129205107689),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283548903,1440413314,1,1,"(0.36046871542930603, 0.16333864629268646)","(0.3676184415817261, 0.1384594738483429)",1,1,2.4490203857421875,2.4814453125,"(-58.23493957519531, 0.09548041224479675, 577.5887451171875)","(3.246436357498169, -5.621370792388916, 577.05859375)","(-49.83122634887695, 170.32070922851562, 51.34984588623047)","(-47.36083221435547, 174.86456298828125, 53.003700256347656)",POINT (0.364043578505516 0.1508990600705147),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283565569,1440429980,1,1,"(0.3597920536994934, 0.15176935493946075)","(0.3727153539657593, 0.13525260984897614)",1,1,2.4568023681640625,2.4711151123046875,"(-58.29384994506836, 0.06899109482765198, 577.48388671875)","(3.177760362625122, -5.619039058685303, 577.0037841796875)","(-50.06503677368164, 172.43365478515625, 52.11895751953125)","(-45.599708557128906, 175.4502410888672, 53.21686553955078)",POINT (0.3662537038326263 0.1435109823942184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283582237,1440446647,1,1,"(0.35643935203552246, 0.15471795201301575)","(0.3707864284515381, 0.13802389800548553)",1,1,2.447265625,2.4765777587890625,"(-58.35166931152344, 0.050505030900239944, 577.4265747070312)","(3.1248414516448975, -5.606424331665039, 576.8294677734375)","(-51.2234992980957, 171.89515686035156, 51.92295837402344)","(-46.266212463378906, 174.94410705566406, 53.03266525268555)",POINT (0.3636128902435303 0.1463709250092506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283598904,1440463314,1,1,"(0.3546680510044098, 0.16181017458438873)","(0.3726324439048767, 0.1397537738084793)",1,1,2.4693756103515625,2.490142822265625,"(-58.41373062133789, 0.02910098060965538, 577.3778686523438)","(3.0801596641540527, -5.603254795074463, 576.7747802734375)","(-51.835514068603516, 170.59986877441406, 51.45145797729492)","(-45.62836456298828, 174.62815856933594, 52.91767501831055)",POINT (0.3636502474546432 0.150781974196434),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283615571,1440479980,1,1,"(0.35802769660949707, 0.15651185810565948)","(0.36941981315612793, 0.13902227580547333)",1,1,2.4611358642578125,2.48431396484375,"(-58.46926498413086, 0.026832856237888336, 577.2361450195312)","(3.0279626846313477, -5.577797889709473, 576.7843627929688)","(-50.674686431884766, 171.56752014160156, 51.80369186401367)","(-46.73841094970703, 174.76174926757812, 52.96629333496094)",POINT (0.3637237548828125 0.1477670669555664),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283632238,1440496647,1,1,"(0.35278719663619995, 0.16368313133716583)","(0.3718309700489044, 0.14677128195762634)",1,1,2.478302001953125,2.495956420898437,"(-58.55183410644531, 0.0276686679571867, 577.2301025390625)","(2.9254751205444336, -5.538331508636475, 576.8680419921875)","(-52.48540496826172, 170.25778198242188, 51.32699203491211)","(-45.90528869628906, 173.3465118408203, 52.45116424560547)",POINT (0.3623090833425522 0.1552272066473961),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283648910,1440513319,1,1,"(0.32457345724105835, 0.16623307764530182)","(0.32461366057395935, 0.12076231092214584)",1,1,2.4747467041015625,2.4834136962890625,"(-58.685829162597656, 0.03821740671992302, 577.196044921875)","(2.8235583305358887, -5.512716770172119, 577.123779296875)","(-62.233951568603516, 169.79205322265625, 51.15750503540039)","(-62.22006607055664, 178.09671020507812, 54.18011474609375)",POINT (0.3245935589075088 0.1434976942837238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283665577,1440529985,1,1,"(0.32549160718917847, 0.17357970774173737)","(0.32165831327438354, 0.11877468973398209)",1,1,2.485260009765625,2.516098022460937,"(-58.75611877441406, 0.05584888160228729, 577.1829833984375)","(2.7753915786743164, -5.462302207946777, 577.0320434570312)","(-61.916717529296875, 168.45030212402344, 50.66911697387695)","(-63.2412109375, 178.45970153808594, 54.31224060058594)",POINT (0.323574960231781 0.1461771987378597),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283682243,1440546651,1,1,"(0.31865671277046204, 0.17121320962905884)","(0.31971707940101624, 0.11501140892505646)",1,1,2.4940185546875,2.4983367919921875,"(-58.80810546875, 0.08743801712989807, 577.0701904296875)","(2.733051300048828, -5.39639139175415, 576.913330078125)","(-64.2783432006836, 168.8825225830078, 50.82643127441406)","(-63.91197204589844, 179.1470489501953, 54.56239318847656)",POINT (0.3191868960857391 0.1431123092770576),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,21,407283698911,1440563318,1,1,"(0.3227958679199219, 0.17140336334705353)","(0.31957995891571045, 0.12575429677963257)",1,1,2.489242553710937,2.489120483398437,"(-58.85997772216797, 0.10838763415813446, 577.0325927734375)","(2.6926116943359375, -5.346445560455322, 576.647216796875)","(-62.84816360473633, 168.8477783203125, 50.81379699707031)","(-63.95933151245117, 177.1849822998047, 53.848262786865234)",POINT (0.3211879134178162 0.148578830063343),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
