,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,afunc.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,target.1,int.2,count.1,=.1,0.1,for.1,int.3,num.1,-----------.2,numbers.2,if.1,num.2,==.1,target.2,count.2,if.2,count.3,==.2,3.1,return.1,true.1,-----------.5,-----------.6,-----------.7,return.2,false.1,-----------.8,question,code,choices
0,20,16,177268042725,3434168560,1,1,"(0.44707179069519043, 0.08976967632770538)","(0.46700066328048706, 0.17279238998889923)",1,1,2.837875366210937,2.620208740234375,"(-54.7617073059082, -39.4787483215332, 724.8167724609375)","(7.755780220031738, -29.93801498413086, 722.9892578125)","(-19.907686233520508, 183.75711059570312, 56.240318298339844)","(-13.021753311157227, 168.59410095214844, 50.72144317626953)",POINT (0.4570362269878388 0.1312810331583023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177268059397,3434185231,1,1,"(0.41118675470352173, 0.12022814899682999)","(0.4277553856372833, 0.18696929514408112)",1,1,2.859893798828125,2.659759521484375,"(-54.91096496582031, -39.424888610839844, 724.8507080078125)","(7.577106475830078, -29.869983673095703, 722.9789428710938)","(-32.30685806274414, 178.1942596435547, 54.21563720703125)","(-26.58199691772461, 166.0048828125, 49.77903747558594)",POINT (0.4194710701704025 0.1535987220704556),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177268076063,3434201897,1,1,"(0.40813693404197693, 0.1481189727783203)","(0.42435839772224426, 0.17323283851146698)",1,1,2.8884735107421875,2.629058837890625,"(-54.95634078979492, -39.433448791503906, 724.8285522460938)","(7.541759490966797, -29.879432678222656, 723.066162109375)","(-33.36066818237305, 173.1003875732422, 52.361576080322266)","(-27.755748748779297, 168.513671875, 50.69215393066406)",POINT (0.4162476658821106 0.1606759056448936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177268092731,3434218564,1,1,"(0.4126657545566559, 0.13681744039058685)","(0.4201415479183197, 0.18390360474586487)",1,1,2.8733062744140625,2.656723022460937,"(-54.994384765625, -39.395355224609375, 724.7923583984375)","(7.512039661407471, -29.829998016357422, 723.0811767578125)","(-31.79584312438965, 175.16445922851562, 53.11283874511719)","(-29.212757110595703, 166.5647735595703, 49.98286056518555)",POINT (0.4164036512374878 0.1603605225682259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177268109397,3434235230,1,1,"(0.4067063629627228, 0.10423131287097931)","(0.417605459690094, 0.17596131563186646)",1,1,2.842025756835937,2.642440795898437,"(-55.019752502441406, -39.43367385864258, 724.7586669921875)","(7.494538307189941, -29.86029815673828, 723.0672607421875)","(-33.85497283935547, 181.11587524414062, 55.27900314331055)","(-30.089061737060547, 168.0153350830078, 50.51080322265625)",POINT (0.4121559113264084 0.1400963142514229),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177268126065,3434251897,1,1,"(0.4109187722206116, 0.10617850720882416)","(0.4208735227584839, 0.18223214149475098)",1,1,2.8298492431640625,2.626983642578125,"(-55.015480041503906, -39.41236877441406, 724.7008056640625)","(7.5067458152771, -29.836877822875977, 723.0380859375)","(-32.399471282958984, 180.76025390625, 55.1495475769043)","(-28.959856033325195, 166.8700714111328, 50.09392166137695)",POINT (0.4158961474895477 0.1442053243517876),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177268142732,3434268564,1,1,"(0.4095965623855591, 0.12496278434991837)","(0.41686227917671204, 0.12515689432621002)",1,1,2.837646484375,2.5361480712890625,"(-55.00543212890625, -39.45653533935547, 724.5851440429688)","(7.5187225341796875, -29.880828857421875, 722.9804077148438)","(-32.8563346862793, 177.32955932617188, 53.90088653564453)","(-30.345840454101562, 177.2941131591797, 53.88795852661133)",POINT (0.4132294207811356 0.1250598393380642),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177268159399,3434285230,1,1,"(0.4133572280406952, 0.1304660141468048)","(0.4218200147151947, 0.1741686910390854)",1,1,2.850128173828125,2.611053466796875,"(-54.97861099243164, -39.443336486816406, 724.5164794921875)","(7.5500569343566895, -29.873794555664062, 722.8065185546875)","(-31.55692481994629, 176.324462890625, 53.53505325317383)","(-28.632814407348633, 168.34274291992188, 50.629940032958984)",POINT (0.417588621377945 0.1523173525929451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177268176066,3434301897,1,1,"(0.4139036536216736, 0.12207669019699097)","(0.423691987991333, 0.10368301719427109)",1,1,2.8343048095703125,2.5212554931640625,"(-54.90576171875, -39.405357360839844, 724.6605834960938)","(7.580163955688477, -29.883663177490234, 722.7913818359375)","(-31.36812400817871, 177.85665893554688, 54.09271240234375)","(-27.986007690429688, 181.2160186767578, 55.3154296875)",POINT (0.4187978208065033 0.112879853695631),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177268192739,3434318569,1,1,"(0.44985806941986084, 0.563311755657196)","(0.4405762255191803, 0.08308835327625275)",1,1,2.7561187744140625,2.470199584960937,"(-54.7388916015625, -39.175167083740234, 725.274169921875)","(7.518948078155518, -29.792770385742188, 723.2689208984375)","(-18.94495964050293, 97.27088928222656, 24.761945724487305)","(-22.152080535888672, 184.9773712158203, 56.684444427490234)",POINT (0.4452171474695206 0.3232000544667244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,20,16,177268376082,3434501906,1,1,"(0.4421859383583069, 0.14790160953998566)","(0.4513015151023865, 0.22964686155319214)",1,1,2.742523193359375,2.432235717773437,"(-54.9316291809082, -39.179649353027344, 724.4796752929688)","(7.660991191864014, -29.70029640197754, 723.0054321289062)","(-21.595861434936523, 173.1400604248047, 52.37603759765625)","(-18.446208953857422, 158.21038818359375, 46.94208526611328)",POINT (0.4467437267303467 0.1887742355465889),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,20,16,177268392749,3434518573,1,1,"(0.4247362017631531, 0.08314316719770432)","(0.44508567452430725, 0.30163267254829407)",1,1,2.7618408203125,2.5446319580078125,"(-54.924888610839844, -39.20313262939453, 724.436767578125)","(7.681210517883301, -29.7202091217041, 722.715576171875)","(-27.625200271606445, 184.9673614501953, 56.6807861328125)","(-20.593942642211914, 145.06312561035156, 42.1568603515625)",POINT (0.4349109381437302 0.1923879198729992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
