,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,printFun.1,int.2,n.1,int.3,num.1,=.1,7.1,if.1,n.2,<=.1,0.1,printFun.2,num.2,-----------.2,return.1,return.2,0.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""""".1",-----------.10,printFun.3,int.4,-.1,2.1,-----------.12,std.2,cout.2,<<.3,n.4,<<.4,""""".2",-----------.18,-----------.19,question,code,choices
0,37,3,765982255956,1959082202,1,1,"(0.34086471796035767, 0.17673367261886597)","(0.3241003751754761, 0.16253499686717987)",1,1,2.6978759765625,2.6297760009765625,"(-102.97296905517578, 13.672113418579102, 648.404052734375)","(-33.643348693847656, 18.11420249938965, 652.0894775390625)","(-56.60491943359375, 167.874267578125, 50.45945739746094)","(-62.397430419921875, 170.46749877929688, 51.40330123901367)",POINT (0.3324825465679169 0.1696343347430229),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,37,3,765982272623,1959098869,1,1,"(0.35384130477905273, 0.20630662143230438)","(0.327251136302948, 0.17718036472797394)",1,1,2.70611572265625,2.650115966796875,"(-103.06137084960938, 13.726588249206543, 648.337646484375)","(-33.719818115234375, 18.203903198242188, 651.9874267578125)","(-52.12118148803711, 162.4731903076172, 48.49358367919922)","(-61.308746337890625, 167.79270935058594, 50.429710388183594)",POINT (0.3405462205410004 0.1917434930801392),,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982289291,1959115536,1,1,"(0.3453364372253418, 0.21867108345031738)","(0.3225589990615845, 0.1991569846868515)",1,1,2.7354888916015625,2.694686889648437,"(-103.09678649902344, 13.751216888427734, 648.265380859375)","(-33.75252914428711, 18.235374450683594, 651.8179931640625)","(-55.05982208251953, 160.2149658203125, 47.67167663574219)","(-62.93001174926758, 163.7789764404297, 48.968849182128906)",POINT (0.3339477181434631 0.2089140340685844),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982305957,1959132202,1,1,"(0.34359225630760193, 0.20621491968631744)","(0.3146499693393707, 0.15605972707271576)",1,1,2.7186737060546875,2.619415283203125,"(-103.12445068359375, 13.766321182250977, 648.3054809570312)","(-33.7680549621582, 18.215864181518555, 651.6627197265625)","(-55.662498474121094, 162.4899139404297, 48.49973678588867)","(-65.66277313232422, 171.6501007080078, 51.83375549316406)",POINT (0.3291211128234863 0.1811373233795166),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982322625,1959148869,1,1,"(0.34551742672920227, 0.21070128679275513)","(0.3186664879322052, 0.14898520708084106)",1,1,2.748046875,2.6006011962890625,"(-103.13800811767578, 13.799304962158203, 648.4228515625)","(-33.755638122558594, 18.201881408691406, 651.59423828125)","(-54.997283935546875, 161.67054748535156, 48.20149612426758)","(-64.27497100830078, 172.9421844482422, 52.30398178100586)",POINT (0.3320919573307037 0.1798432469367981),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982339292,1959165536,1,1,"(0.3502238392829895, 0.2129909098148346)","(0.3212706446647644, 0.14551860094070435)",1,1,2.7164459228515625,2.5806121826171875,"(-103.1493911743164, 13.868938446044922, 648.6507568359375)","(-33.74099349975586, 18.208215713500977, 651.512451171875)","(-53.3711051940918, 161.25238037109375, 48.04927444458008)","(-63.37517166137695, 173.57530212402344, 52.534454345703125)",POINT (0.335747241973877 0.1792547553777695),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,37,3,765982355966,1959182209,1,1,"(0.3376557528972626, 0.2558120787143707)","(0.319698691368103, 0.16525620222091675)",1,1,2.77471923828125,2.6226806640625,"(-103.11573028564453, 13.967071533203125, 648.636962890625)","(-33.70034408569336, 18.248807907104492, 651.22119140625)","(-57.71369934082031, 153.431640625, 45.20278549194336)","(-63.91831588745117, 169.97048950195312, 51.22241973876953)",POINT (0.3286772221326828 0.2105341404676437),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982372633,1959198876,1,1,"(0.3345623016357422, 0.05068023130297661)","(0.31922224164009094, 0.147864431142807)",1,1,2.5254364013671875,2.588973999023437,"(-103.10629272460938, 14.1102933883667, 648.7614135742188)","(-33.682960510253906, 18.347000122070312, 651.2238159179688)","(-58.782562255859375, 190.89627075195312, 58.838775634765625)","(-64.08294677734375, 173.1468505859375, 52.37854766845703)",POINT (0.3268922716379166 0.0992723312228918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982389301,1959215543,1,1,"(0.33588606119155884, 0.1832481175661087)","(0.327534556388855, 0.1980551779270172)",1,1,2.67730712890625,2.62457275390625,"(-103.09002685546875, 14.278844833374023, 648.912353515625)","(-33.65781021118164, 18.497718811035156, 651.119873046875)","(-58.325164794921875, 166.68450927734375, 50.02640914916992)","(-61.2108268737793, 163.98019409179688, 49.0421142578125)",POINT (0.3317103087902069 0.190651647746563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,3,765982405967,1959232209,1,1,"(0.37396764755249023, 0.26727986335754395)","(0.36516666412353516, 0.17475754022598267)",1,1,2.7691802978515625,2.606903076171875,"(-102.93773651123047, 14.445706367492676, 648.8763427734375)","(-33.53143310546875, 18.660749435424805, 651.0617065429688)","(-45.16701889038086, 151.33721923828125, 44.440467834472656)","(-48.20798873901367, 168.2351837158203, 50.59083557128906)",POINT (0.3695671558380127 0.2210187017917633),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
