,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,int.2,a.1,=.1,1.1,b.1,=.2,2.1,c.1,=.3,3.1,c.2,=.4,a.2,==.1,b.2,std.1,cout.1,<<.1,c.3,return.1,0.1,-----------.6,question,code,choices
0,22,6,332138791818,1800593611,1,1,"(0.5422534346580505, 0.061246760189533234)","(0.5259898900985718, 0.14264869689941406)",1,1,3.4245758056640625,3.477996826171875,"(-32.38359069824219, -86.68352508544922, 668.9033203125)","(29.266864776611328, -86.96525573730469, 670.0921020507812)","(12.979985237121582, 188.96644592285156, 58.136356353759766)","(7.360489845275879, 174.0994415283203, 52.72526168823242)",POINT (0.5341216623783112 0.1019477285444736),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,6,332138808485,1800610278,1,1,"(0.537888765335083, 0.1330527365207672)","(0.5239677429199219, 0.1870434433221817)",1,1,3.4350738525390625,3.4754791259765625,"(-32.421600341796875, -86.77700805664062, 669.0744018554688)","(29.209823608398438, -87.05010223388672, 670.1223754882812)","(11.471875190734863, 175.85203552246094, 53.36311721801758)","(6.661814212799072, 165.9913330078125, 49.77409362792969)",POINT (0.5309282541275024 0.1600480899214745),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138825151,1800626943,1,1,"(0.5349820256233215, 0.11728617548942566)","(0.5239207148551941, 0.17072899639606476)",1,1,3.4287261962890625,3.4527587890625,"(-32.49155044555664, -86.81120300292969, 669.0426635742188)","(29.16718864440918, -87.08597564697266, 670.1148681640625)","(10.467512130737305, 178.73158264160156, 54.41116714477539)","(6.645561218261719, 168.970947265625, 50.85861587524414)",POINT (0.5294513702392578 0.1440075859427452),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138841818,1800643610,1,1,"(0.5408391952514648, 0.13228607177734375)","(0.5241053104400635, 0.16569696366786957)",1,1,3.4344024658203125,3.44610595703125,"(-32.5494384765625, -86.83517456054688, 669.0234375)","(29.113037109375, -87.10688781738281, 670.1197509765625)","(12.491312980651855, 175.99203491210938, 53.41410827636719)","(6.709345817565918, 169.8900146484375, 51.19309997558594)",POINT (0.5324722528457642 0.1489915177226067),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138858485,1800660276,1,1,"(0.5369364619255066, 0.11843744665384293)","(0.52801913022995, 0.16712622344493866)",1,1,3.420562744140625,3.4458160400390625,"(-32.60209655761719, -86.86274719238281, 669.0061645507812)","(29.057506561279297, -87.126220703125, 670.1376953125)","(11.142815589904785, 178.5213165283203, 54.33464431762695)","(8.061659812927246, 169.6289520263672, 51.09806442260742)",POINT (0.5324777960777283 0.1427818350493908),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138875153,1800676944,1,1,"(0.5372408032417297, 0.1261129081249237)","(0.5239349603652954, 0.1678888499736786)",1,1,3.4486236572265625,3.4391632080078125,"(-32.65647888183594, -86.86810302734375, 669.0135498046875)","(29.013259887695312, -87.11961364746094, 670.1907958984375)","(11.2479887008667, 177.11949157714844, 53.824424743652344)","(6.650477409362793, 169.48968505859375, 51.047393798828125)",POINT (0.5305878818035126 0.1470008790493012),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138891821,1800693611,1,1,"(0.5393919944763184, 0.12132199853658676)","(0.5198191404342651, 0.17695817351341248)",1,1,3.4257354736328125,3.4589996337890625,"(-32.702964782714844, -86.86560821533203, 669.0086669921875)","(28.96979522705078, -87.09723663330078, 670.1328125)","(11.991267204284668, 177.99449157714844, 54.14287567138672)","(5.228365421295166, 167.83328247070312, 50.444522857666016)",POINT (0.5296055674552917 0.1491400860249996),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138908491,1800710281,1,1,"(0.5440653562545776, 0.13256557285785675)","(0.5272024273872375, 0.17413964867591858)",1,1,3.4189605712890625,3.4644012451171875,"(-32.741539001464844, -86.84619140625, 669.0050659179688)","(28.93740463256836, -87.06802368164062, 670.1229248046875)","(13.606040000915527, 175.94100952148438, 53.39547348022461)","(7.779483795166016, 168.34805297851562, 50.63188934326172)",POINT (0.5356338918209076 0.1533526107668877),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138925158,1800726947,1,1,"(0.5443174242973328, 0.1293400675058365)","(0.5259575843811035, 0.1795497089624405)",1,1,3.421127319335937,3.456878662109375,"(-32.762062072753906, -86.81382751464844, 668.966796875)","(28.914806365966797, -87.0323486328125, 670.0631103515625)","(13.693147659301758, 176.5301055908203, 53.60988998413086)","(7.34935998916626, 167.35997009277344, 50.272212982177734)",POINT (0.5351375043392181 0.1544448882341385),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138941824,1800743613,1,1,"(0.5455605387687683, 0.13584446907043457)","(0.5238339304924011, 0.16980573534965515)",1,1,3.4317626953125,3.4542388916015625,"(-32.75979995727539, -86.78666687011719, 668.9173583984375)","(28.924041748046875, -87.01537322998047, 670.0615844726562)","(14.122654914855957, 175.34214782714844, 53.17753982543945)","(6.6155781745910645, 169.13955688476562, 50.91999053955078)",POINT (0.5346972346305847 0.1528251022100449),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
