,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,lst.1,cons.1,cons.2,cons.3,'a.1,'b.1,cons.4,cons.5,-----------.1,cons.6,'d.1,'.2,().3,-----------.4,-----------.5,'.6,().7,-----------.8,-----------.9,cons.7,'e.1,'.10,().11,).12,).13,).14,question,code,choices
0,56,26,60061820919,1838094851,1,1,"(0.42379310727119446, 0.17082078754901886)","(0.437110036611557, 0.25626835227012634)",1,1,2.586669921875,2.9708709716796875,"(-39.956573486328125, 55.29567337036133, 648.2315063476562)","(27.649826049804688, 53.38385772705078, 649.0795288085938)","(-27.951065063476562, 168.95419311523438, 50.85250473022461)","(-23.3497257232666, 153.34832763671875, 45.17241668701172)",POINT (0.4304515719413757 0.2135445699095726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061837586,1838111517,1,1,"(0.4251768887042999, 0.17230544984340668)","(0.4334438443183899, 0.22962355613708496)",1,1,2.597137451171875,2.9573211669921875,"(-40.01373291015625, 55.48567199707031, 648.2005615234375)","(27.583702087402344, 53.542781829833984, 648.94482421875)","(-27.472938537597656, 168.6830291748047, 50.75383377075195)","(-24.61648941040039, 158.2146453857422, 46.94361877441406)",POINT (0.4293103665113449 0.2009645029902458),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061854254,1838128184,1,1,"(0.4317585825920105, 0.19104048609733582)","(0.4424426555633545, 0.23153804242610931)",1,1,2.597320556640625,2.948883056640625,"(-40.026611328125, 55.75532531738281, 648.2678833007812)","(27.577425003051758, 53.78293991088867, 649.0623779296875)","(-25.198787689208984, 165.2613525390625, 49.50835418701172)","(-21.507165908813477, 157.86500549316406, 46.81631088256836)",POINT (0.4371006190776825 0.2112892642617226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061870921,1838144851,1,1,"(0.5024339556694031, 0.1832066774368286)","(0.5078387260437012, 0.2434714436531067)",1,1,2.606414794921875,2.9810791015625,"(-39.910011291503906, 56.14695739746094, 648.3740234375)","(27.6888370513916, 54.07571792602539, 649.1695556640625)","(-0.7786676287651062, 166.69210815429688, 50.02906036376953)","(1.0888222455978394, 155.6855010986328, 46.02312469482422)",POINT (0.5051363408565521 0.2133390605449676),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061887588,1838161517,1,1,"(0.5054514408111572, 0.19385196268558502)","(0.5241069197654724, 0.24529357254505157)",1,1,2.6346893310546875,2.97991943359375,"(-39.95014190673828, 56.567138671875, 648.4146728515625)","(27.639495849609375, 54.3953857421875, 649.1032104492188)","(0.2639419734477997, 164.74786376953125, 49.32149124145508)","(6.709888935089111, 155.3527374267578, 45.90193557739258)",POINT (0.5147791802883148 0.2195727676153183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061904255,1838178184,1,1,"(0.5096920132637024, 0.2008555382490158)","(0.5142207741737366, 0.2394566535949707)",1,1,2.6384429931640625,2.9893341064453125,"(-40.017303466796875, 56.97958755493164, 648.3826293945312)","(27.57369613647461, 54.77240753173828, 649.387939453125)","(1.729171872138977, 163.46871948242188, 48.85601806640625)","(3.293973207473755, 156.4187469482422, 46.29001235961914)",POINT (0.5119563937187195 0.2201560959219933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061920928,1838194856,1,1,"(0.5003286600112915, 0.20146358013153076)","(0.5101434588432312, 0.24515582621097565)",1,1,2.6416015625,3.0104522705078125,"(-40.10332489013672, 57.44074630737305, 648.579833984375)","(27.495765686035156, 55.14806365966797, 649.4176025390625)","(-1.5060865879058838, 163.35768127441406, 48.815574645996094)","(1.8851675987243652, 155.3778839111328, 45.91112518310547)",POINT (0.5052360594272614 0.2233097031712532),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061937594,1838211522,1,1,"(0.5066229701042175, 0.18951620161533356)","(0.5182818174362183, 0.2518070638179779)",1,1,2.61224365234375,3.045623779296875,"(-40.174537658691406, 57.76436233520508, 648.4063720703125)","(27.395160675048828, 55.4320068359375, 649.2384643554688)","(0.6687395572662354, 165.53973388671875, 49.609710693359375)","(4.697167873382568, 154.1631317138672, 45.46896743774414)",POINT (0.5124523937702179 0.2206616327166557),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061954262,1838228189,1,1,"(0.4995066523551941, 0.20617619156837463)","(0.5107071995735168, 0.24978767335414886)",1,1,2.648468017578125,3.0370025634765625,"(-40.25984191894531, 58.06766891479492, 648.4869384765625)","(27.32638168334961, 55.68700408935547, 649.3370361328125)","(-1.790117859840393, 162.4969940185547, 48.50227737426758)","(2.0799617767333984, 154.5319366455078, 45.60322189331055)",POINT (0.5051069259643555 0.2279819324612618),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,26,60061970929,1838244856,1,1,"(0.5003318190574646, 0.1739080548286438)","(0.5227817296981812, 0.2376900613307953)",1,1,2.630966186523437,3.0268096923828125,"(-40.354400634765625, 58.285057067871094, 648.4517822265625)","(27.22252655029297, 55.860755920410156, 649.01806640625)","(-1.5050007104873657, 168.3903350830078, 50.647300720214844)","(6.252005100250244, 156.74142456054688, 46.4073486328125)",POINT (0.5115567743778229 0.2057990580797195),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
