,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,13,5,408074699641,2231540880,1,1,"(0.5394254922866821, 0.17913325130939484)","(0.5476382374763489, 0.1952035129070282)",1,1,2.2705841064453125,2.2777557373046875,"(-49.99358367919922, 30.315120697021484, 529.9987182617188)","(11.605573654174805, 26.138690948486328, 530.8231811523438)","(12.002843856811523, 167.43601989746094, 50.2999382019043)","(14.840576171875, 164.5010223388672, 49.23167419433594)",POINT (0.5435318648815155 0.1871683821082115),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074716313,2231557552,1,1,"(0.5406765341758728, 0.18591636419296265)","(0.5459473729133606, 0.18957911431789398)",1,1,2.2481842041015625,2.2711639404296875,"(-49.99433135986328, 30.283676147460938, 529.951171875)","(11.62289810180664, 26.088886260986328, 530.549560546875)","(12.435111999511719, 166.19717407226562, 49.84902572631836)","(14.256330490112305, 165.52822875976562, 49.60554504394531)",POINT (0.5433119535446167 0.1877477392554283),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074732980,2231574218,1,1,"(0.5351985096931458, 0.185367152094841)","(0.5432778596878052, 0.1933855563402176)",1,1,2.2846221923828125,2.2701568603515625,"(-49.991058349609375, 30.23569107055664, 529.85888671875)","(11.637691497802734, 26.054306030273438, 530.431640625)","(10.542332649230957, 166.2974853515625, 49.885536193847656)","(13.333959579467773, 164.83302307128906, 49.3525276184082)",POINT (0.5392381846904755 0.1893763542175293),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074749647,2231590885,1,1,"(0.5386106967926025, 0.17923030257225037)","(0.5495163202285767, 0.19606229662895203)",1,1,2.252777099609375,2.273834228515625,"(-49.995880126953125, 30.205909729003906, 529.8822631835938)","(11.63338851928711, 26.047473907470703, 530.6414184570312)","(11.721321105957031, 167.41830444335938, 50.29347610473633)","(15.489480018615723, 164.3441619873047, 49.1745719909668)",POINT (0.5440635085105896 0.1876462996006012),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074766315,2231607552,1,1,"(0.5377476215362549, 0.18253032863140106)","(0.5524914264678955, 0.20161770284175873)",1,1,2.26611328125,2.2732696533203125,"(-49.997074127197266, 30.188922882080078, 529.8900146484375)","(11.60970401763916, 26.073549270629883, 531.2693481445312)","(11.423104286193848, 166.81561279296875, 50.07412338256836)","(16.517440795898438, 163.32955932617188, 48.80528259277344)",POINT (0.5451195240020752 0.1920740157365799),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074782981,2231624218,1,1,"(0.543822705745697, 0.17801368236541748)","(0.5482853651046753, 0.197459414601326)",1,1,2.2464752197265625,2.265655517578125,"(-50.004302978515625, 30.19048309326172, 529.9041748046875)","(11.638266563415527, 26.044509887695312, 530.7041015625)","(13.522181510925293, 167.6405029296875, 50.37437057495117)","(15.064159393310547, 164.0889892578125, 49.08170700073242)",POINT (0.5460540354251862 0.1877365484833717),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,13,5,408074799649,2231640885,1,1,"(0.45831814408302307, 0.2091076821088791)","(0.4747002422809601, 0.23100818693637848)",1,1,2.2782440185546875,2.261505126953125,"(-50.21426010131836, 30.14409828186035, 529.9650268554688)","(11.377334594726562, 25.980304718017578, 530.3245239257812)","(-16.021785736083984, 161.96157836914062, 48.30741500854492)","(-10.361370086669922, 157.9617462158203, 46.85158157348633)",POINT (0.4665091931819916 0.2200579345226288),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,13,5,408074816315,2231657551,1,1,"(0.42336249351501465, 0.23684388399124146)","(0.4371560215950012, 0.25318336486816406)",1,1,2.2519683837890625,2.2720489501953125,"(-50.43413543701172, 30.097074508666992, 530.0169677734375)","(11.130701065063477, 25.9894962310791, 530.5191650390625)","(-28.099853515625, 156.8959503173828, 46.46367645263672)","(-23.333839416503906, 153.91175842285156, 45.37749481201172)",POINT (0.4302592575550079 0.2450136244297028),,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,13,5,408074832984,2231674219,1,1,"(0.4217572808265686, 0.23009467124938965)","(0.43793508410453796, 0.24831433594226837)",1,1,2.27313232421875,2.281585693359375,"(-50.4491081237793, 30.08942222595215, 530.0465087890625)","(11.140443801879883, 25.991573333740234, 530.550048828125)","(-28.65449333190918, 158.12860107421875, 46.912296295166016)","(-23.064647674560547, 154.801025390625, 45.70114517211914)",POINT (0.4298461824655533 0.239204503595829),,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,13,5,408074849656,2231690891,1,1,"(0.41093334555625916, 0.2310236245393753)","(0.43837597966194153, 0.25650009512901306)",1,1,2.246337890625,2.270111083984375,"(-50.478919982910156, 30.08565330505371, 530.0813598632812)","(11.126936912536621, 26.00111961364746, 530.55078125)","(-32.39442443847656, 157.9589385986328, 46.85053253173828)","(-22.912309646606445, 153.30601501464844, 45.15703582763672)",POINT (0.4246546626091003 0.2437618598341942),,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,13,5,408074866323,2231707557,1,1,"(0.4186399281024933, 0.23973502218723297)","(0.43223968148231506, 0.25389406085014343)",1,1,2.255966186523437,2.2831268310546875,"(-50.506954193115234, 30.053730010986328, 530.05419921875)","(11.106273651123047, 25.9959716796875, 530.52783203125)","(-29.731611251831055, 156.36790466308594, 46.271484375)","(-25.032554626464844, 153.78196716308594, 45.33027267456055)",POINT (0.4254398047924042 0.2468145415186882),,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,13,5,408074882990,2231724224,1,1,"(0.4186970293521881, 0.2344570904970169)","(0.440766841173172, 0.24729202687740326)",1,1,2.260772705078125,2.2869415283203125,"(-50.55060958862305, 30.0338191986084, 530.1268920898438)","(11.084651947021484, 26.00135040283203, 530.5521850585938)","(-29.71187400817871, 157.3318634033203, 46.62233352661133)","(-22.086210250854492, 154.98773193359375, 45.76911926269531)",POINT (0.42973193526268 0.2408745586872101),,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
