,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,-----------.1,afunc.1,int.1,-----------.2,year1.1,-----------.3,int.2,month1.1,int.3,day1.1,int.4,year2.1,int.5,month2.1,int.6,day2.1,-----------.4,if.1,year1.2,<.1,year2.2,return.1,true.1,-----------.6,else.1,if.2,year1.3,>.1,year2.3,return.2,false.1,-----------.8,else.2,if.3,month1.2,<.2,month2.2,-----------.10,return.3,true.2,-----------.11,else.3,if.4,month1.3,>.2,month2.3,return.4,false.2,-----------.13,else.4,return.5,day1.2,>.3,day2.2,-----------.15,-----------.16,-----------.17,question,code,choices
0,36,23,344018690761,2834055676,1,1,"(0.3590948283672333, 0.1821037083864212)","(0.3465985059738159, 0.20167551934719086)",1,1,2.3548583984375,2.41241455078125,"(-95.65748596191406, 8.372509002685547, 464.3212890625)","(-34.98341751098633, 12.3501558303833, 476.1378173828125)","(-50.30595016479492, 166.89349365234375, 50.1025390625)","(-54.62374496459961, 163.31898498535156, 48.80144500732422)",POINT (0.3528466671705246 0.191889613866806),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018707428,2834072343,1,1,"(0.3591131865978241, 0.20763088762760162)","(0.3459976017475128, 0.19887658953666687)",1,1,2.411239624023437,2.404052734375,"(-95.73207092285156, 8.410178184509277, 464.52862548828125)","(-35.042274475097656, 12.409931182861328, 476.07952880859375)","(-50.29961395263672, 162.23130798339844, 48.40559387207031)","(-54.83137512207031, 163.83016967773438, 48.98750686645508)",POINT (0.3525553941726685 0.2032537385821342),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018724095,2834089009,1,1,"(0.35696646571159363, 0.18921791017055511)","(0.3422856330871582, 0.20739372074604034)",1,1,2.422393798828125,2.3911285400390625,"(-95.81795501708984, 8.459424018859863, 464.809326171875)","(-35.11412811279297, 12.510374069213867, 476.47772216796875)","(-51.041358947753906, 165.5941925048828, 49.62959289550781)","(-56.11396026611328, 162.27462768554688, 48.42134475708008)",POINT (0.3496260493993759 0.1983058154582977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018740762,2834105676,1,1,"(0.35108208656311035, 0.18357877433300018)","(0.3433590531349182, 0.20754553377628326)",1,1,2.3600311279296875,2.4047088623046875,"(-95.8486328125, 8.539873123168945, 464.9248046875)","(-35.18977737426758, 12.629377365112305, 476.8252868652344)","(-53.074562072753906, 166.62411499023438, 50.00442886352539)","(-55.743064880371094, 162.24688720703125, 48.41128921508789)",POINT (0.3472205698490143 0.1955621540546417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018757433,2834122346,1,1,"(0.35432493686676025, 0.1808733344078064)","(0.34769755601882935, 0.20917364954948425)",1,1,2.3286590576171875,2.395294189453125,"(-95.97233581542969, 8.61638069152832, 465.38726806640625)","(-35.27654266357422, 12.75823974609375, 477.09576416015625)","(-51.954071044921875, 167.1182098388672, 50.1843147277832)","(-54.24399948120117, 161.94955444335938, 48.30300521850586)",POINT (0.3510112464427948 0.1950234919786453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018774099,2834139012,1,1,"(0.3583888113498688, 0.1561168134212494)","(0.3419400453567505, 0.21521800756454468)",1,1,2.3778228759765625,2.4029693603515625,"(-96.09707641601562, 8.720417022705078, 465.91253662109375)","(-35.378273010253906, 12.878872871398926, 477.52996826171875)","(-50.54989242553711, 171.63966369628906, 51.829978942871094)","(-56.23336410522461, 160.8456268310547, 47.90122985839844)",POINT (0.3501644283533096 0.185667410492897),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018790767,2834155679,1,1,"(0.35635989904403687, 0.17791405320167542)","(0.3498000204563141, 0.19833064079284668)",1,1,2.331283569335937,2.3580474853515625,"(-96.0752182006836, 8.807971954345703, 466.03289794921875)","(-35.42305374145508, 13.001502990722656, 478.08740234375)","(-51.25094985961914, 167.65869140625, 50.381004333496094)","(-53.51755142211914, 163.9298858642578, 49.02378845214844)",POINT (0.3530799597501755 0.188122346997261),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36,23,344018807434,2834172346,1,1,"(0.4054928719997406, 0.15275143086910248)","(0.4193916618824005, 0.18622788786888123)",1,1,2.3683319091796875,2.325164794921875,"(-95.99343872070312, 8.933876037597656, 466.5578308105469)","(-35.35894012451172, 13.166979789733887, 478.82452392578125)","(-34.274269104003906, 172.2543182373047, 52.05365753173828)","(-29.47187614440918, 166.14028930664062, 49.82831954956055)",POINT (0.4124422669410706 0.1694896593689918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,36,23,344018857436,2834222346,1,1,"(0.39855170249938965, 0.19175921380519867)","(0.3954292833805084, 0.18973365426063538)",1,1,2.42132568359375,2.307525634765625,"(-96.47181701660156, 9.247798919677734, 468.77239990234375)","(-35.75777816772461, 13.567688941955566, 480.6734924316406)","(-36.672607421875, 165.13006591796875, 49.46063232421875)","(-37.7514762878418, 165.5, 49.595306396484375)",POINT (0.396990492939949 0.190746434032917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,36,23,344018874102,2834239012,1,1,"(0.40334999561309814, 0.14807850122451782)","(0.3977622389793396, 0.18420353531837463)",1,1,2.324462890625,2.3110809326171875,"(-96.6212387084961, 9.350894927978516, 469.65093994140625)","(-35.89686584472656, 13.729950904846191, 481.5775146484375)","(-35.014686584472656, 173.10775756835938, 52.36431884765625)","(-36.94538879394531, 166.510009765625, 49.962894439697266)",POINT (0.4005561172962189 0.1661410182714462),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
