,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,terms.1,if.1,terms.2,==.1,0.1,-----------.4,return.1,1.1,-----------.5,else.1,return.2,-----------.6,std::pow.1,2.1,terms.3,+.1,afunc.2,terms.4,-.1,1.2,-----------.9,-----------.10,-----------.11,question,code,choices
0,56,22,58998218635,774524256,1,1,"(0.32589128613471985, 0.057492695748806)","(0.35061612725257874, 0.12223982810974121)",1,1,2.552841186523437,2.939453125,"(-42.66069030761719, 66.07809448242188, 607.9613037109375)","(25.04408073425293, 64.27204132080078, 609.92236328125)","(-61.778629302978516, 189.65206909179688, 58.38595199584961)","(-53.23554611206055, 177.82687377929688, 54.081886291503906)",POINT (0.3382537066936493 0.0898662619292736),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998235302,774540923,1,1,"(0.321073979139328, 0.06846502423286438)","(0.3515770733356476, 0.13091632723808289)",1,1,2.5804901123046875,2.949432373046875,"(-42.96864700317383, 66.25928497314453, 608.2792358398438)","(24.74170684814453, 64.54973602294922, 610.3148193359375)","(-63.44310760498047, 187.6481170654297, 57.65652847290039)","(-52.90353012084961, 176.24220275878906, 53.505126953125)",POINT (0.3363255262374878 0.0996906757354736),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998251968,774557589,1,1,"(0.3199947476387024, 0.07625503838062286)","(0.347857266664505, 0.10522113740444183)",1,1,2.5933837890625,2.9497833251953125,"(-43.27143478393555, 66.4443359375, 608.5178833007812)","(24.431079864501953, 64.80982971191406, 610.6258544921875)","(-63.816017150878906, 186.2253875732422, 57.13868713378906)","(-54.188812255859375, 180.9351043701172, 55.213191986083984)",POINT (0.3339260071516037 0.0907380878925324),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998268635,774574255,1,1,"(0.32014691829681396, 0.07379674166440964)","(0.34965506196022034, 0.12892043590545654)",1,1,2.586029052734375,2.942489624023437,"(-43.581382751464844, 66.6434555053711, 608.9805908203125)","(24.12541389465332, 65.08846282958984, 610.9781494140625)","(-63.76344680786133, 186.6743621826172, 57.302101135253906)","(-53.56763458251953, 176.6067352294922, 53.63780975341797)",POINT (0.3349009901285172 0.1013585887849331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998285303,774590923,1,1,"(0.3218589127063751, 0.06319370120763779)","(0.3478645086288452, 0.13074307143688202)",1,1,2.5814208984375,2.9314727783203125,"(-43.896202087402344, 66.84555053710938, 609.4851684570312)","(23.81490707397461, 65.33743286132812, 611.2474365234375)","(-63.17189407348633, 188.61083984375, 58.00693130493164)","(-54.186309814453125, 176.27386474609375, 53.51661682128906)",POINT (0.3348617106676102 0.0969683863222599),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998301970,774607589,1,1,"(0.3239741623401642, 0.06904256343841553)","(0.3448324501514435, 0.12783603370189667)",1,1,2.579376220703125,2.9470672607421875,"(-44.17152404785156, 67.00245666503906, 609.7062377929688)","(23.525165557861328, 65.60028839111328, 611.7225341796875)","(-62.44102478027344, 187.54263305664062, 57.618141174316406)","(-55.233978271484375, 176.80479431152344, 53.70988845825195)",POINT (0.3344033062458038 0.0984392985701561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998318628,774624247,1,1,"(0.31626036763191223, 0.08503687381744385)","(0.3459310531616211, 0.1294158697128296)",1,1,2.583648681640625,2.92596435546875,"(-44.439544677734375, 67.18203735351562, 610.0205078125)","(23.24822425842285, 65.8543472290039, 612.0524291992188)","(-65.10633850097656, 184.62149047851562, 56.55492401123047)","(-54.85436248779297, 176.51625061035156, 53.604854583740234)",POINT (0.3310957103967667 0.1072263717651367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998335308,774640927,1,1,"(0.3340557813644409, 0.07328913360834122)","(0.3522162437438965, 0.12164187431335449)",1,1,2.586517333984375,2.931304931640625,"(-44.68629455566406, 67.34024047851562, 610.43505859375)","(23.01274871826172, 66.0881576538086, 612.492431640625)","(-58.95758056640625, 186.76705932617188, 57.335845947265625)","(-52.682682037353516, 177.93606567382812, 54.12163543701172)",POINT (0.3431360125541687 0.0974655039608478),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998351966,774657585,1,1,"(0.401811808347702, 0.08460336178541183)","(0.432611882686615, 0.1117558553814888)",1,1,2.5537872314453125,2.9274444580078125,"(-44.70826721191406, 67.51602935791016, 610.8577880859375)","(22.977874755859375, 66.26760864257812, 612.8695068359375)","(-35.546146392822266, 184.70065307617188, 56.583744049072266)","(-24.903942108154297, 179.7416229248047, 54.77878189086914)",POINT (0.4172118455171585 0.0981796085834503),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,22,58998368633,774674251,1,1,"(0.4187134802341461, 0.07090781629085541)","(0.4485781490802765, 0.12163915485143661)",1,1,2.559310913085937,2.9320068359375,"(-44.85083770751953, 67.63457489013672, 611.1954956054688)","(22.815290451049805, 66.46685791015625, 613.244384765625)","(-29.706209182739258, 187.20196533203125, 57.49418258666992)","(-19.38720703125, 177.9365692138672, 54.12181091308594)",POINT (0.4336458146572113 0.096273485571146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
