,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,-----------.1,namespace.1,std.1,double.1,afunc.1,int.1,n.1,if.1,n.2,==.1,0.1,return.1,0.0.1,-----------.3,double.2,term.1,=.1,1.0.1,/.1,pow.1,n.3,2.0.1,-----------.5,if.2,n.4,%.1,2.2,==.2,0.2,return.2,afunc.2,n.5,-.1,1.1,-.2,term.2,-----------.10,else.1,return.3,afunc.3,n.6,-.3,1.2,+.1,term.3,-----------.13,-----------.14,question,code,choices
0,37,18,764634135771,611001880,1,1,"(0.45115721225738525, 0.237396240234375)","(0.42454269528388977, 0.2640973627567291)",1,1,2.54144287109375,2.478973388671875,"(-87.90672302246094, -19.96324348449707, 712.5057373046875)","(-18.437585830688477, -17.137378692626953, 713.73876953125)","(-18.496078491210938, 156.79507446289062, 46.426918029785156)","(-27.692081451416016, 151.91845703125, 44.652015686035156)",POINT (0.4378499537706375 0.2507468014955521),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634152438,611018547,1,1,"(0.41421639919281006, 0.33755964040756226)","(0.40344247221946716, 0.2844887375831604)",1,1,2.593612670898437,2.465057373046875,"(-88.1202392578125, -20.064823150634766, 712.7088623046875)","(-18.665157318115234, -17.160701751708984, 713.7679443359375)","(-31.260053634643555, 138.5015411376953, 39.76862335205078)","(-34.98271942138672, 148.19422912597656, 43.2965202331543)",POINT (0.4088294357061386 0.3110241889953613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764634169105,611035213,1,1,"(0.4273074269294739, 0.2924855053424835)","(0.40304434299468994, 0.2945924699306488)",1,1,2.543304443359375,2.4899444580078125,"(-88.33377075195312, -20.089405059814453, 712.8381958007812)","(-18.872364044189453, -17.109535217285156, 713.798095703125)","(-26.736780166625977, 146.73373413085938, 42.76493835449219)","(-35.12028884887695, 146.34893798828125, 42.624847412109375)",POINT (0.4151758849620819 0.2935389876365662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634185773,611051881,1,1,"(0.41957327723503113, 0.3364236652851105)","(0.4072325527667999, 0.30840399861335754)",1,1,2.5999298095703125,2.507537841796875,"(-88.47569274902344, -20.121009826660156, 712.7706298828125)","(-19.025245666503906, -17.072629928588867, 713.8455810546875)","(-29.409120559692383, 138.70899963378906, 39.84416580200195)","(-33.67314910888672, 143.82644653320312, 41.706722259521484)",POINT (0.4134029150009155 0.322413831949234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764634202445,611068552,1,1,"(0.41271254420280457, 0.3126446604728699)","(0.40705403685569763, 0.2776655852794647)",1,1,2.5847625732421875,2.47808837890625,"(-88.62069702148438, -20.113525390625, 712.9470825195312)","(-19.174482345581055, -17.00323486328125, 713.9354248046875)","(-31.779678344726562, 143.0519256591797, 41.424861907958984)","(-33.734840393066406, 149.44039916992188, 43.75008773803711)",POINT (0.4098832905292511 0.2951551228761673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634219111,611085218,1,1,"(0.41879886388778687, 0.3630114495754242)","(0.40655434131622314, 0.30663806200027466)",1,1,2.6219940185546875,2.5187530517578125,"(-88.73250579833984, -20.101139068603516, 712.988037109375)","(-19.287982940673828, -16.94159507751465, 713.9705810546875)","(-29.67670440673828, 133.8531036376953, 38.07672882080078)","(-33.90748977661133, 144.14895629882812, 41.82415008544922)",POINT (0.412676602602005 0.3348247557878494),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764634235779,611101885,1,1,"(0.42405059933662415, 0.31527236104011536)","(0.40070244669914246, 0.2878207862377167)",1,1,2.59002685546875,2.490264892578125,"(-88.83647155761719, -20.05881118774414, 713.1766357421875)","(-19.373401641845703, -16.856521606445312, 714.0214233398438)","(-27.862083435058594, 142.572021484375, 41.25017166137695)","(-35.9294548034668, 147.58567810058594, 43.07501983642578)",POINT (0.4123765230178833 0.301546573638916),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764634252446,611118552,1,1,"(0.417035311460495, 0.3079116940498352)","(0.41543763875961304, 0.3003751039505005)",1,1,2.5708770751953125,2.5181427001953125,"(-88.87031555175781, -20.011478424072266, 713.21044921875)","(-19.422649383544922, -16.76548957824707, 714.1026611328125)","(-30.28605079650879, 143.91636657714844, 41.73945999145508)","(-30.838090896606445, 145.2928009033203, 42.24047088623047)",POINT (0.416236475110054 0.3041433990001678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764634269114,611135219,1,1,"(0.4261831045150757, 0.300113320350647)","(0.405659556388855, 0.30658861994743347)",1,1,2.5619354248046875,2.510833740234375,"(-88.88923645019531, -19.961223602294922, 713.393798828125)","(-19.43360137939453, -16.682918548583984, 714.2289428710938)","(-27.125255584716797, 145.3406219482422, 42.25785446166992)","(-34.216678619384766, 144.15798950195312, 41.82745361328125)",POINT (0.4159213304519653 0.3033509701490402),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764634285780,611151885,1,1,"(0.42366522550582886, 0.23854948580265045)","(0.3983312249183655, 0.2543452978134155)",1,1,2.498382568359375,2.4754180908203125,"(-88.869140625, -19.90257453918457, 713.4716186523438)","(-19.406700134277344, -16.605079650878906, 714.3291015625)","(-27.995237350463867, 156.58444213867188, 46.35028076171875)","(-36.7487907409668, 153.6995391845703, 45.30028533935547)",POINT (0.4109982252120972 0.246447391808033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,37,18,764634302447,611168552,1,1,"(0.4196796715259552, 0.3389742076396942)","(0.3974473774433136, 0.3068718910217285)",1,1,2.605194091796875,2.5135650634765625,"(-88.83133697509766, -19.875537872314453, 713.6565551757812)","(-19.34642791748047, -16.56575584411621, 714.4456176757812)","(-29.372352600097656, 138.24317932128906, 39.67463684082031)","(-37.0541877746582, 144.1062469482422, 41.808624267578125)",POINT (0.4085635244846344 0.3229230493307114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
