,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255022847,2034104711,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255039514,2034121377,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255056181,2034138044,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255072854,2034154716,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255089520,2034171382,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255106188,2034188049,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255122855,2034204716,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255139522,2034221382,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255156192,2034238052,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255172857,2034254716,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,30,"{'x': 769.4154333244269, 'y': 410.91615282684063, 'elapsedTime': 39657}",9255189525,2034271384,POINT (0.4007372048564724 0.3804779192841117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
